timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1639510389302,462,HTTP Request,200,,Customers Search 1-24,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,461,0,0
1639510389591,183,HTTP Request,200,,Customers Search 1-12,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,182,0,0
1639510389703,77,HTTP Request,200,,Customers Search 1-4,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,75,0,0
1639510389593,194,HTTP Request,200,,Customers Search 1-9,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,193,0,0
1639510389590,199,HTTP Request,200,,Customers Search 1-7,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,198,0,0
1639510389368,425,HTTP Request,200,,Customers Search 1-26,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,423,0,1
1639510389400,396,HTTP Request,200,,Customers Search 1-27,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,380,0,1
1639510389434,362,HTTP Request,200,,Customers Search 1-28,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,359,0,1
1639510389335,476,HTTP Request,200,,Customers Search 1-25,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,473,0,0
1639510389598,226,HTTP Request,200,,Customers Search 1-10,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,218,0,0
1639510389597,235,HTTP Request,200,,Customers Search 1-2,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,234,0,0
1639510389596,243,HTTP Request,200,,Customers Search 1-11,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,228,0,0
1639510389470,372,HTTP Request,200,,Customers Search 1-29,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,372,0,1
1639510389604,247,HTTP Request,200,,Customers Search 1-6,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,246,0,0
1639510389636,218,HTTP Request,200,,Customers Search 1-1,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,217,0,0
1639510389642,257,HTTP Request,200,,Customers Search 1-18,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,256,0,0
1639510389591,309,HTTP Request,200,,Customers Search 1-13,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,308,0,0
1639510389591,309,HTTP Request,200,,Customers Search 1-5,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,308,0,0
1639510389597,318,HTTP Request,200,,Customers Search 1-3,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,312,0,0
1639510389655,276,HTTP Request,200,,Customers Search 1-19,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,275,0,0
1639510389702,234,HTTP Request,200,,Customers Search 1-21,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,228,0,0
1639510389671,273,HTTP Request,200,,Customers Search 1-20,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,271,0,0
1639510389724,224,HTTP Request,200,,Customers Search 1-17,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,223,0,0
1639510389731,229,HTTP Request,200,,Customers Search 1-15,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,228,0,0
1639510389701,260,HTTP Request,200,,Customers Search 1-8,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,259,0,0
1639510389731,235,HTTP Request,200,,Customers Search 1-23,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,234,0,0
1639510389701,267,HTTP Request,200,,Customers Search 1-16,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,266,0,0
1639510389745,233,HTTP Request,200,,Customers Search 1-22,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,232,0,0
1639510389764,221,HTTP Request,200,,Customers Search 1-24,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,220,0,0
1639510389774,222,HTTP Request,200,,Customers Search 1-12,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,209,0,0
1639510389796,205,HTTP Request,200,,Customers Search 1-27,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,200,0,0
1639510389788,217,HTTP Request,200,,Customers Search 1-9,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,216,0,0
1639510389720,293,HTTP Request,200,,Customers Search 1-14,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,274,0,0
1639510389793,223,HTTP Request,200,,Customers Search 1-26,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,223,0,0
1639510389499,529,HTTP Request,200,,Customers Search 1-30,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,514,0,1
1639510389797,242,HTTP Request,200,,Customers Search 1-28,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,232,0,0
